Date,Price,Open,High,Low,Vol.,Change %
09/27/2023,83.181,83.297,83.312,83.153,,-0.06%
09/26/2023,83.23,83.122,83.309,83.099,,0.12%
09/25/2023,83.13,83.057,83.179,83.029,,0.19%
09/22/2023,82.97,82.876,82.993,82.769,,-0.16%
09/21/2023,83.102,83.193,83.222,83.005,,0.22%
09/20/2023,82.92,83.261,83.297,82.924,,-0.47%
09/19/2023,83.31,83.25,83.344,83.17,,0.05%
09/18/2023,83.27,83.106,83.36,83.085,,0.24%
09/15/2023,83.069,83.063,83.202,82.981,,0.07%
09/14/2023,83.01,82.915,83.101,82.913,,0.09%
09/13/2023,82.934,82.873,83.039,82.855,,0.10%
09-12-2023,82.85,82.905,83.015,82.853,,-0.06%
09-11-2023,82.9,82.955,83.068,82.815,,-0.13%
09-08-2023,83.004,83.133,83.184,82.902,,-0.18%
09-07-2023,83.15,83.22,83.271,83.076,,-0.06%
09-06-2023,83.197,83.075,83.258,82.986,,0.20%
09-05-2023,83.033,82.753,83.097,82.712,,0.38%
09-04-2023,82.715,82.67,82.785,82.65,,0.03%
09-01-2023,82.689,82.647,82.784,82.576,,-0.02%
08/31/2023,82.702,82.678,82.799,82.582,,0.11%
08/30/2023,82.607,82.593,82.819,82.568,,0.04%
08/29/2023,82.574,82.646,82.842,82.576,,-0.03%
08/28/2023,82.6,82.585,82.662,82.527,,-0.04%
08/25/2023,82.637,82.605,82.74,82.532,,0.07%
08/24/2023,82.58,82.579,82.646,82.359,,0.09%
08/23/2023,82.508,83.082,83.09,82.449,,-0.64%
08/22/2023,83.04,83.113,83.122,82.909,,-0.06%
08/21/2023,83.09,83.193,83.217,83.021,,-0.06%
08/18/2023,83.14,83.086,83.221,83.018,,0.01%
08/17/2023,83.13,83.222,83.268,82.989,,-0.10%
08/16/2023,83.209,83.24,83.443,83.085,,0.00%
08/15/2023,83.212,83.185,83.467,83.17,,0.05%
08/14/2023,83.17,82.895,83.301,82.895,,0.36%
08-11-2023,82.87,82.789,82.911,82.725,,0.31%
08-10-2023,82.616,82.84,82.861,82.59,,-0.28%
08-09-2023,82.844,82.878,82.88,82.783,,-0.01%
08-08-2023,82.853,82.76,82.984,82.748,,0.12%
08-07-2023,82.75,82.741,82.785,82.678,,0.10%
08-04-2023,82.668,82.74,82.893,82.674,,-0.10%
08-03-2023,82.75,82.719,82.826,82.665,,0.02%
08-02-2023,82.73,82.352,82.811,82.321,,0.47%
08-01-2023,82.34,82.24,82.357,82.222,,0.12%
07/31/2023,82.24,82.227,82.313,82.205,,0.02%
07/28/2023,82.225,82.155,82.354,82.155,,0.09%
07/27/2023,82.15,81.938,82.248,81.88,,0.24%
07/26/2023,81.95,81.899,82.078,81.863,,0.12%
07/25/2023,81.85,81.815,81.918,81.666,,0.07%
07/24/2023,81.79,82.035,82.052,81.786,,-0.23%
07/21/2023,81.98,82.084,82.091,81.928,,-0.11%
07/20/2023,82.07,82.064,82.087,81.908,,0.02%
07/19/2023,82.05,82.087,82.166,82.024,,-0.01%
07/18/2023,82.06,82.062,82.114,81.961,,0.02%
07/17/2023,82.04,82.127,82.209,81.988,,-0.01%
07/14/2023,82.049,82.01,82.203,81.926,,0.01%
07/13/2023,82.04,82.001,82.146,81.948,,0.07%
07-12-2023,81.98,82.405,82.421,81.962,,-0.50%
07-11-2023,82.39,82.55,82.563,82.324,,-0.16%
07-10-2023,82.52,82.665,82.689,82.52,,-0.11%
07-07-2023,82.61,82.766,82.778,82.545,,-0.18%
07-06-2023,82.758,82.398,82.821,82.297,,0.44%
07-05-2023,82.397,82.047,82.413,81.994,,0.55%
07-04-2023,81.946,81.975,82.045,81.868,,0.01%
07-03-2023,81.94,82.061,82.072,81.753,,-0.18%
06/30/2023,82.091,82.09,82.135,81.997,,-0.01%
06/29/2023,82.1,82.037,82.134,81.997,,0.10%
06/28/2023,82.02,81.991,82.099,81.966,,0.05%
06/27/2023,81.983,82.03,82.05,81.934,,0.02%
06/26/2023,81.97,81.971,82.086,81.935,,-0.01%
06/23/2023,81.98,81.927,82.089,81.926,,0.04%
06/22/2023,81.95,81.961,82.017,81.878,,0.02%
06/21/2023,81.93,81.992,82.135,81.94,,-0.09%
06/20/2023,82,81.915,82.173,81.915,,0.11%
06/19/2023,81.91,81.976,82.011,81.879,,0.00%
06/16/2023,81.91,81.913,82.03,81.841,,0.01%
06/15/2023,81.9,82.045,82.279,81.905,,-0.06%
06/14/2023,81.95,82.242,82.335,81.897,,-0.34%
06/13/2023,82.229,82.401,82.473,82.152,,-0.20%
06-12-2023,82.39,82.463,82.504,82.4,,-0.06%
06-09-2023,82.44,82.515,82.525,82.404,,-0.06%
06-08-2023,82.488,82.628,82.628,82.475,,-0.01%
06-07-2023,82.5,82.51,82.587,82.454,,-0.01%
06-06-2023,82.51,82.511,82.663,82.483,,-0.01%
06-05-2023,82.52,82.456,82.697,82.398,,0.15%
06-02-2023,82.398,82.277,82.447,82.262,,0.16%
06-01-2023,82.266,82.666,82.668,82.268,,-0.50%
05/31/2023,82.68,82.648,82.777,82.62,,0.02%
05/30/2023,82.665,82.557,82.794,82.548,,0.10%
05/29/2023,82.586,82.591,82.682,82.511,,0.02%
05/26/2023,82.57,82.745,82.748,82.542,,-0.20%
05/25/2023,82.733,82.68,82.821,82.666,,0.08%
05/24/2023,82.67,82.88,82.897,82.57,,-0.19%
05/23/2023,82.83,82.835,82.89,82.749,,-0.01%
05/22/2023,82.84,82.809,82.903,82.725,,-0.05%
05/19/2023,82.878,82.767,82.953,82.623,,0.19%
05/18/2023,82.72,82.453,82.797,82.348,,0.39%
05/17/2023,82.4,82.272,82.46,82.26,,0.17%
05/16/2023,82.264,82.239,82.317,82.16,,0.03%
05/15/2023,82.237,82.244,82.388,82.182,,0.08%
05-12-2023,82.173,82.12,82.244,82.095,,0.10%
05-11-2023,82.09,81.926,82.195,81.901,,0.23%
05-10-2023,81.9,82.105,82.114,81.875,,-0.24%
05-09-2023,82.1,81.787,82.162,81.771,,0.40%
05-08-2023,81.77,81.711,81.836,81.659,,0.09%
05-05-2023,81.7,81.718,81.827,81.652,,-0.01%
05-04-2023,81.71,81.762,81.829,81.652,,-0.06%
05-03-2023,81.755,81.788,81.872,81.67,,0.01%
05-02-2023,81.75,81.795,81.961,81.715,,-0.02%
05-01-2023,81.77,81.795,81.814,81.715,,0.06%
04/28/2023,81.72,81.72,81.87,81.706,,0.03%
04/27/2023,81.695,81.732,81.864,81.594,,-0.06%
04/26/2023,81.74,82.004,82.026,81.679,,-0.27%
04/25/2023,81.965,81.871,82.043,81.852,,0.02%
04/24/2023,81.95,82.095,82.115,81.865,,-0.10%
04/21/2023,82.03,82.14,82.22,82.008,,-0.11%
04/20/2023,82.12,82.308,82.355,82.05,,-0.18%
04/19/2023,82.265,82.098,82.288,82.057,,0.23%
04/18/2023,82.08,81.995,82.115,81.948,,0.12%
04/17/2023,81.98,81.915,82.096,81.859,,0.20%
